R-PEAK INDEX, TIME, AMPLITUDE
170654,1706.54,71
170732,1707.32,133
170810,1708.1,121
170888,1708.88,147
170964,1709.64,143
171039,1710.39,127
171115,1711.15,101
171188,1711.88,75
171262,1712.62,126
171335,1713.35,132
171410,1714.1,99
171486,1714.86,121
171561,1715.61,95
171638,1716.38,141
171716,1717.16,94
171796,1717.96,85
171875,1718.75,141
171957,1719.57,144
172040,1720.4,143
172123,1721.23,125
172206,1722.06,115
172290,1722.9,144
172371,1723.71,74
172453,1724.53,147
172536,1725.36,130
172618,1726.18,143
172699,1726.99,143
172780,1727.8,131
172863,1728.63,103
172947,1729.47,135
172978,1729.78,57
173028,1730.28,104
173112,1731.12,118
173195,1731.95,118
173225,1732.25,57
173275,1732.75,77
173305,1733.05,61
173355,1733.55,143
173434,1734.34,169
173513,1735.13,105
173541,1735.41,53
173588,1735.88,105
173666,1736.66,116
173746,1737.46,148
173776,1737.76,54
173827,1738.27,125
173857,1738.57,58
173908,1739.08,108
173988,1739.88,158
174070,1740.7,121
174101,1741.01,53
174151,1741.51,131
174232,1742.32,100
174315,1743.15,128
174397,1743.97,78
174479,1744.79,130
174561,1745.61,136
174642,1746.42,137
174722,1747.22,102
174801,1748.01,96
174882,1748.82,144
174962,1749.62,131
175041,1750.41,126
175120,1751.2,128
175199,1751.99,95
175280,1752.8,98
175360,1753.6,92
175438,1754.38,108
175518,1755.18,140
175598,1755.98,137
175679,1756.79,120
175760,1757.6,98
175839,1758.39,110
175922,1759.22,153
176005,1760.05,136
176089,1760.89,79
176173,1761.73,139
176260,1762.6,86
176345,1763.45,100
176431,1764.31,90
176519,1765.19,100
176607,1766.07,94
176695,1766.95,134
176783,1767.83,94
176871,1768.71,139
176961,1769.61,153
177050,1770.5,97
177136,1771.36,137
177221,1772.21,85
177308,1773.08,101
177392,1773.92,122
177475,1774.75,131
177559,1775.59,92
177642,1776.42,130
177670,1776.7,62
177725,1777.25,132
177807,1778.07,138
177890,1778.9,133
177972,1779.72,118
178053,1780.53,123
178134,1781.34,152
178216,1782.16,92
178297,1782.97,93
178379,1783.79,63
178462,1784.62,109
178544,1785.44,146
178574,1785.74,62
178625,1786.25,127
178705,1787.05,105
178787,1787.87,97
178866,1788.66,122
178944,1789.44,125
179023,1790.23,137
179102,1791.02,128
179181,1791.81,124
179209,1792.09,61
179260,1792.6,83
179340,1793.4,145
179417,1794.17,111
179494,1794.94,179
179649,1796.49,174
179725,1797.25,140
179799,1797.99,137
179874,1798.74,153
179949,1799.49,146
180023,1800.23,76
180096,1800.96,99
180170,1801.7,154
180244,1802.44,83
180316,1803.16,145
180409,1804.09,73
180420,1804.2,257
180459,1804.59,74
180465,1804.65,133
180472,1804.72,175
180479,1804.79,107
180526,1805.26,70
180536,1805.36,125
180540,1805.4,232
180688,1806.88,89
180761,1807.61,139
180833,1808.33,89
180902,1809.02,121
180981,1809.81,58
180998,1809.98,102
181013,1810.13,99
181020,1810.2,87
181022,1810.22,101
181027,1810.27,91
181038,1810.38,203
181054,1810.54,128
181066,1810.66,156
181106,1811.06,139
181173,1811.73,148
181239,1812.39,164
181305,1813.05,106
181371,1813.71,93
181437,1814.37,121
181502,1815.02,126
181566,1815.66,124
181629,1816.29,89
181694,1816.94,110
181757,1817.57,148
181823,1818.23,167
181895,1818.95,96
181968,1819.68,112
182038,1820.38,104
182110,1821.1,129
182182,1821.82,154
182256,1822.56,144
182330,1823.3,96
182403,1824.03,132
182476,1824.76,108
182550,1825.5,145
182627,1826.27,127
182706,1827.06,94
182785,1827.85,118
182864,1828.64,139
182945,1829.45,135
183025,1830.25,68
183104,1831.04,128
183185,1831.85,159
183265,1832.65,100
183344,1833.44,73
183422,1834.22,102
183499,1834.99,137
183574,1835.74,154
183649,1836.49,179
183725,1837.25,145
183754,1837.54,57
183800,1838.0,128
183874,1838.74,152
183950,1839.5,175
184026,1840.26,159
